ID,Name,Display Size,RAM (GB),Storage,GPU,Brand,Operating System,CPU,Color,Screen Resolution,Series
532,"Lenovo 15.6'' IdeaPad Laptop (Latest Model), AMD Athlon Dual Core Processor, 640GB SSD (128GB eMMC+512GB PCIe SSD), Webcam, HDMI, WiFi 6, USB Type-C, Long Battery Life, NLY MP, Windows 11, Grey",?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
533,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
534,"14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
535,"Lenovo 15.6"" IdeaPad 1 Laptop, 1TB SSD Storage, 20GB Memory, AMD Athlon Silver Processor, 15.6"" HD Display, Wi-Fi 6 & Bluetooth 5.1, SD Card Reader, HDMI, Windows 11 Home, 1 Year Microsoft 365",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
536,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
537,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
538,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
539,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
540,BiTECOOL 14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
541,Lenovo 15.6'' IdeaPad ,?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
542,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
