ID,Name,Price ($),Rating,Number of Ratings,Product Info
0,"Lenovo ThinkPad X1 Extreme Gen 3 15.6"" FHD (Intel 6-Core i7-10750H, 64GB RAM, 2TB PCIe SSD, GTX 1650 Ti) Mobile Workstation Laptop, 2 x Thunderbolt 3, Backlit, Fingerprint, Windows 10 Pro","2,049.99",,2,
1,"Lenovo Thinkpad T480s 14"" Full HD 1920 x 1080 Ultrabook- 8th Gen Intel QUAD Core i5-8350U 1.7GHz  16 GB RAM DDR4 512 GB SSD,Wi-Fi, Bluetooth, Webcam Windows 10 Pro",269.9,,,
2,"Lenovo ThinkPad L380 Yoga 2-in-1 Laptop, 13.3"" FHD Touchscreen, Intel Core i5-8250U, 16GB RAM, 512GB SSD, Fingerprint Reader, Backlit Keyboard, for Education, Gaming, Business, Windows10 Pro 64 bit",279.9,,,
3,"JUSTTHINK Slim Laptop, 15.6"" FHD Display, Intel Celeron N5095 Processor, 16GB DDR4 RAM, 512GB ROM  Laptop Computers, Windows 11, Backlit Keyboard, 2.4GHZ WiFi, Dark grey, No touch screen function",$389.99 ,,,Model #: x13Item #: 9SIBHWWJFX6588Return Policy: View Return Policy
4,"Lenovo IdeaPad Flex 5 16"" 2-in-1 Touchscreen Laptop - Intel Core i7 12th Gen 1255U 16GB RAM 512GB SSD Windows 11 Home, Lenovo Premium Care, 82R80002US",$699.99 ,rated 4.2 out of 5,11,"Battery Life: MobileMark 2018@200nits: 7.5 hr
Local video (1080p) playback@150nits: 11 hrGraphics Card: Intel Iris Xe GraphicsWeight: 4.63 lbs.Color: Storm GreyModel #: 82R80002USItem #: 1TS-000E-10PV0Return Policy: Standard Return Policy"
5,"ASUS ZenBook Pro Duo 15.6"" OLED 4K Touchscreen Intel Core i9 12th Gen 12900H (2.50GHz) 32GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 3070 Ti   Windows 11 Pro 64-bit UX582ZW-XB99T","$2,999.99 ",rated 4.1 out of 5,15,Type: Content Creation / Home / PersonalResolution: 3840 x 2160Weight: 5.16 lbs.Graphics Card: NVIDIA GeForce RTX 3070 Ti Laptop GPUModel #: UX582ZW-XB99TItem #: N82E16834236264Return Policy: Standard Return Policy
6,"JOHNKANG  Laptop 15.6"" FHD(1920*1080),Windows 11 pro 4 cores,4 threads,4M cache,, Intel Celeron N5095 Processor Quad-Core, 12GB RAM DDR4,512GB SSD(Silver Gray )",279.99,,,Color: GrayModel #: x133-xinItem #: 9SIBFVMK0E4934Return Policy: View Return Policy
7,"MSI Laptop Creator Z16P Intel Core i7 12th Gen 12700H (2.30GHz) 16GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 3070 Ti Laptop GPU 16.0"" Touchscreen Windows 11 Pro 64-bit Creator Z16P B12UGST-042","$1,699.00 ",rated 4 out of 5,7,Type: Content Creation / Work / BusinessResolution: 2560 x 1600Weight: 6.38 lbs.Graphics Card: NVIDIA GeForce RTX 3070 Ti Laptop GPUModel #: Z16P B12UGST-042Item #: N82E16834156173Return Policy: Standard Return Policy
8,"MSI Modern 14 14"" Ultra Thin and Light Professional Laptop Intel® Core™ i5-1155G7 Iris Xe 16GB 512GB NVMe SSD Win 11 Home, C11M-068US",$529.00 ,rated 4.2 out of 5,44,Type: Work / BusinessResolution: 1920 x 1080Weight: 3.75 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: Modern 14 C11M-068USItem #: N82E16834156464Return Policy: Standard Return Policy
9,"ASUS Laptop ZenBook Pro Intel Core i7 12th Gen 12700H (2.30GHz) 16GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Touchscreen Windows 11 Home 64-bit UX7602ZM-DB74T","$2,599.99 ",,,Type: Content Creation / Home / PersonalResolution: 3840 x 2400Weight: 5.29 lbs.Graphics Card: NVIDIA GeForce RTX 3060 Laptop GPUModel #: UX7602ZM-DB74TItem #: N82E16834236265Return Policy: Standard Return Policy
10,"MSI Modern 14 14"" Ultra Thin and Light Laptop AMD Ryzen 7-7730U UMA 16GB 512GB NVMe SSD Win 11 home, C7M-048US",$699.00 ,rated 4.5 out of 5,48,Type: Work / BusinessResolution: 1920 x 1080Weight: 3.75 lbs.Graphics Card: AMD Radeon GraphicsModel #: Modern 14 C7M-048USItem #: N82E16834156444Return Policy: Standard Return Policy
11,"AUASOIU Slim Laptop, 15.6"" FHD Display, Intel Celeron N5095 Processor, 12GB DDR4 RAM, 512GB ROM Laptop Computers, Windows 11, Backlit Keyboard, 2.4GHZ WiFi, Dark Grey",$299.99 ,,,Type: Work / BusinessModel #: x133 12+512Item #: 9SIBK06JZU8663Return Policy: View Return Policy
12,"Acer Swift 3 Intel Evo Thin & Light Laptop | 14"" QHD 100% sRGB | Intel Core i7-1260P | Intel Iris Xe Graphics | 16GB LPDDR4X | 1TB SSD | Killer Wi-Fi 6E AX1675 | Windows 11 Home | SF314-512-73YZ",$899.99 ,rated 5 out of 5,1,Type: Everyday ValueModel #: SF314-512-73YZItem #: 1TS-000X-03ME5Return Policy: Standard Return Policy
13,"Lenovo IdeaPad Slim 5i Laptop 82XF002SUS Intel i7-1355U 16GB RAM 1TB  SSD 16.0"" Windows 11 Home Intel Iris Xe Graphics",$949.99 ,rated 5 out of 5,1,Type: Home / PersonalResolution: 1920 x 1200Weight: 4.16 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: 82XF002SUSItem #: N82E16834840212Return Policy: Standard Return Policy
14,"Refurbished MSI STEALTH GS75 Laptop 17.3"" Full HD 1920 x 1080 9th Gen Intel Core i9-9880H NVIDIA GeForce RTX 2080 Mobile 32GB DDR4 1TB PCIe SSD RGB Backlit Keyboard Win10","1,299.00",,,Type: GamingColor: BlackModel #: MSIGS753212080Item #: 9SIBJGEJMR2384Return Policy: View Return Policy
15,"Fusion5 14.1"" Full HD Windows 11 Laptop - 128GB Storage, 4GB RAM, T90B+ Pro Model Lapbook, N4120 Intel Quad Core CPU, 5GHz WiFi (Dual-Band WiFi) 2X WiFi speeds, USB 3.0, Supports M.2 SATA SSD (128GB)",$299.99 ,,,
16,"Acer Swift 3 14"" FHD Touch Laptop, Intel i5-1240P, 16GB RAM, 512GB SSD, Win 11 Home SF314-512T-56CT",$699.99 ,rated 5 out of 5,2,Type: Everyday ValueResolution: 1920 x 1080Graphics Card: Intel Iris Xe GraphicsPart Number: SF314-512T-56CTModel #: NX.K7FAA.001Item #: 1TS-000X-04JM2Return Policy: Standard Return Policy
17,"Refurbished HP Grade A Laptop EliteBook Intel Core i7 6th Gen 6600U (2.60GHz) 16GB Memory 512 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Pro 64-bit 840 G3",232,,,Type: Work / BusinessResolution: 1920 x 1080Graphics Card: Intel HD Graphics 520Part Number: JOY5-840G3-A03-RBModel #: 840G3716512MARItem #: 9SIADFMJ058414Return Policy: View Return Policy
18,"MSI Modern 15 15.6"" Ultra Thin and Light Professional Laptop Intel® Core™ i7-1195G7 Intel® Iris® Xe 16GB DDR4 1TB NVMe SSD Win 11 Home, B11M-024US",$749.00 ,rated 4.5 out of 5,42,Type: Work / BusinessResolution: 1920 x 1080Weight: 3.52 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: Modern 15 B11M-024USItem #: N82E16834156463Return Policy: Standard Return Policy
19,"MSI Modern 15 Laptop Intel Core i7 12th Gen 1255U (1.70GHz) 16GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit Modern 15 B12M-013",$999.00 ,rated 4.5 out of 5,42,Type: Work / BusinessResolution: 1920 x 1080Weight: 3.85 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: Modern 15 B12M-013Item #: N82E16834156266Return Policy: Standard Return Policy
20,Refurbished HP EliteBook 840 G2 14.0-in Laptop - Intel Core i7 5600U 5th Gen 2.60 GHz 16GB 512GB SSD Windows 10 Pro 64-Bit - Webcam,208,,,Type: Work / BusinessResolution: 1920 x 1080Weight: 3 - 3.9 lbs.WLAN: 802.11a/b/g/n Wireless LANModel #: 14-HP-840G2-31Item #: 9SIADFMJ101009Return Policy: View Return Policy
21,"Acer Aspire 5 Laptop AMD Ryzen 5 5000 Series 5625U (2.30GHz) 8GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit A515-47-R3Y6",649.99,rated 4.8 out of 5,24,Type: Home / PersonalResolution: 1920 x 1080Weight: 3.90 lbs.Graphics Card: AMD Radeon GraphicsModel #: NX.K82AA.001Item #: N82E16834360175Return Policy: Standard Return Policy
22,"Lapbook 15.6"" S15 N2 256GB Full HD Windows 11 Home Slim & Lightweight Laptop - 8GB RAM, 256GB M.2 SSD Storage, Intel N4020C CPU, AC WIFI + RJ45 Connection, Integrated Webcam","$1,049.99 ",,,"Type: Home / PersonalResolution: 1920 x 1080Operating System: Windows 11 HomeScreen: 15.6""Model #: S15 N2 256GBItem #: 9SIBMBSJW93099Return Policy: View Return Policy"
23,"Refurbished MSI Prestige 14 A10SC-051 14.0"" FHD Laptop Core i7 10710U (1.10GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce GTX 1650 Max-Q Windows 10 Pro",799,,,Type: MainstreamColor: WhiteModel #: MSIPi716512GTX1650WItem #: 9SIBJGEJP30345Return Policy: View Return Policy
24,"Hasee Z8 (15.6'', i7-11800H, RTX3060), Gaming Laptop, i7-11800H 4.6GHz, 16G DDR4 RAM, 512G NVMe PCIe4.0 SSD, RTX3060 6G GDDR6, 15.6'' 144Hz 1920x1080 FHD IPS Display, RGB KB, WF, BT, Win11, Ore Black","$1,479.99 ",rated 5 out of 5,3,Resolution: 1920 x 1080Weight: 4.8 PoundsPart Number: Z8Color: BlackModel #: ZHANSHEN-Z8-TA7NSReturn Policy: View Return Policy
25,"Hasee T8 (16'', i9-12900H, RTX3060), Gaming Laptop, i9-12900H 5.0GHz, 16G DDR4 RAM, 1T NVMe PCIe4.0 SSD, RTX3060 6G GDDR6, 16'' 2.5K 165Hz IPS Display, RGB KB, WiFi 6, BT 5.2, Win 11, Obsidian Black","$1,879.99 ",rated 4.5 out of 5,8,Resolution: 2560 x 1600 (2.5K)Weight: 4.7 PoundsPart Number: T8Color: BlackModel #: ZHANSHEN-T8-DA9NT-2Return Policy: View Return Policy
26,"Acer Nitro 5 AN515-58-56CH 15.6"" 144 Hz IPS Intel Core i5 12th Gen 12500H (2.50GHz) NVIDIA GeForce RTX 4050 Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",$999.99 ,rated 4.4 out of 5,275,Resolution: 1920 x 1080Weight: 5.51 lbs.Part Number: NH.QLZAA.001Color: Obsidian BlackModel #: NH.QLZAA.001Item #: N82E16834360248Return Policy: Standard Return Policy
27,"ASUS TUF Gaming A17 (2021) Gaming Laptop, 17.3"" 144Hz FHD IPS-Type Display, AMD Ryzen 5 4600H, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, RGB Keyboard, Windows 11 Home, FA706IHR-RS53",$799.99 ,rated 4.3 out of 5,103,Resolution: 1920 x 1080Weight: 5.73 lbs.Part Number: 90NR07D5-M001T0Color: Graphite BlackModel #: FA706IHR-RS53Item #: N82E16834236240Return Policy: Standard Return Policy
28,"2023 ASUS Vivobook 16X OLED Laptop, 16"" 3.2K 120Hz Display, Intel Core i9-13900H CPU, NVIDIA GeForce RTX 4050 GPU, 16GB RAM, 1TB SSD, Windows 11 Home, Indie black, K3605VU-ES94","1,499.99",,,Type: Content Creation / Home / PersonalResolution: 3200 x 2000Weight: 5.25 lbs.Graphics Card: NVIDIA GeForce RTX 4050 Laptop GPUModel #: K3605VU-ES94Item #: N82E16834236461Return Policy: Standard Return Policy
29,"ASUS Vivobbook 15.6"" FHD Screen Laptop, Intel Core i5-1135G7, 20GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, KKE Accessories",$589.00 ,,,"Type: Home / PersonalResolution: 1920 x 1080Graphics Card: Intel Iris Xe GraphicsLCD Features: IPS display with 83% screen-to-body ratio, 16:9 aspect ratio and narrow bezelsModel #: 197105428744Item #: 9SIB0GJJZ66879Return Policy: View Return Policy"
30,"Acer Swift X Creator Laptop | 14"" Full HD 100% sRGB | AMD Ryzen 5 5600U | NVIDIA RTX 3050 Laptop GPU | 8GB LPDDR4X | 512GB NVMe SSD | Wi-Fi 6 | Backlit Keyboard | Windows 11 Home SFX14-41G-R7YT",$949.99 ,rated 5 out of 5,1,Type: Everyday ValueGraphics Card: NVIDIA GeForce RTX 3050Part Number: NX.AU6AA.002Bluetooth: Bluetooth 5.2Model #: NX.AU6AA.002Item #: 1TS-000X-03CU0Return Policy: Standard Return Policy
31,"Acer Predator Triton 300 SE PT316-51s-7397 16.0"" 240 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3060 Laptop GPU 16GB Memory 512 GB NVMe SSD Windows 11 Home Gaming Laptop","$1,749.99 ",rated 4.4 out of 5,40,Resolution: 2560 x 1600Weight: 5.29 lbs.Part Number: NH.QGJAA.001Color: Sparkly SilverModel #: NH.QGJAA.001Item #: N82E16834360226Return Policy: Standard Return Policy
32,"MSI Pulse 15 B13VGK-287US 15.6"" 165 Hz Intel Core i9 13th Gen 13900H (2.60GHz) NVIDIA GeForce RTX 4070 Laptop GPU 32GB Memory 1 TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop","$1,899.00 ",rated 4.5 out of 5,747,Resolution: 2560 x 1440Weight: 5.07 lbs.Color: BlackOperating System: Windows 11 Home 64-bitModel #: Pulse 15 B13VGK-287USItem #: N82E16834156425Return Policy: Standard Return Policy
33,"HP Pavilion Laptop, 15.6"" Touchscreen, 13th Gen Intel Core i7-1355U, 16GB RAM, 512GB SSD, NVIDIA GeForce MX550, HDMI, Webcam, Wi-Fi 6, Backlit Keyboard, Windows 11 Home, Silver",$979.00 ,,,Type: Home / PersonalResolution: 1920 x 1080Display Type: Full HDColor: SilverModel #: PAVILION_CTO_N1Item #: 9SIB0GJJZH2004Return Policy: View Return Policy
34,"Lenovo IdeaPad 3 15.6"" Touchscreen Laptop - 10th Gen Intel Core i5-1035G1 Notebook 81WE00LDUS 12GB Memory RAM 1TB HDD",$346.80 ,,,Part Number: 81WE00LDUSColor: BlueNumber of Cores: Dual-core ProcessorDisplay Type: HDModel #: 81WE00LDUSItem #: 9SIAHRCJZM4477Return Policy: View Return Policy
35,"MSI Bravo 15 C7VE-010US 15.6"" 144 Hz IPS AMD Ryzen 5 7000 Series 7535HS (3.30GHz) NVIDIA GeForce RTX 4050 Laptop GPU 8GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",$999.00 ,rated 4 out of 5,9,Resolution: 1920 x 1080Weight: 4.96 lbs.Color: Aluminum BlackOperating System: Windows 11 Home 64-bitModel #: Bravo 15 C7VE-010USItem #: N82E16834156469Return Policy: Standard Return Policy
36,"MSI Katana 15 B12VFK-265US 15.6"" 144 Hz IPS Intel Core i5 12th Gen 12450H (2.00GHz) NVIDIA GeForce RTX 4060 Laptop GPU 16GB Memory 1 TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop","$1,199.00 ",rated 3.8 out of 5,21,Resolution: 1920 x 1080Weight: 4.96 lbs.Color: BlackOperating System: Windows 11 Home 64-bitModel #: Katana 15 B12VFK-265USItem #: N82E16834156431Return Policy: Standard Return Policy
37,"Refurbished HP EliteBook 840 G3 Laptop Intel Core i5 6th Gen 6300U (2.40 GHz) 16 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Pro 64-bit",$449.99 ,rated 4.2 out of 5,80,Type: Work / BusinessResolution: 1366 x 768Weight: 3.40 lbs.Graphics Card: Intel HD Graphics 520Model #: NE5-32467Item #: N82E16834271969Return Policy: Standard Return Policy
38,"RATEYUSO Windows 11 Pro Laptop, 15.6"" FHD(1920 x 1080) IPS Display,Intel N5095 CPU Notebook 16GB RAM/512GB SSD,Full Size Backlit Keyboard with Fingerprint Reader",$399.99 ,rated 4 out of 5,1,Operating System: Windows 11 ProCPU: intel n5095Screen: 16:9 widescreenMemory: 16 GB DDR4Model #: ZQ_X133Item #: 9SIBJTMJN77277Return Policy: View Return Policy
39,"Lenovo IdeaPad 15.6"" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 7 5825U Octa-core (8 Core) 2 GHz - 8 GB RAM 512 GB SSD Win11H - Abyss Blue 82SG0004US",$859.99 ,rated 3.7 out of 5,3,Type: Home / PersonalResolution: 1920 x 1080Graphics Card: AMD Radeon 8 GraphicsPart Number: 82SG0004US-NWModel #: 82SG0004USItem #: 1XV-0001-027U5Return Policy: Standard Return Policy
40,"ASUS ROG Strix G16 (2023) Gaming Laptop, 16"" Nebula Display 16:10 QHD 240Hz, GeForce RTX 4070, Intel Core i9-13980HX, 32GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11 Pro, G614JI-XS96","2,199.99",rated 4.7 out of 5,10,Resolution: 2560 x 1600Weight: 5.51 lbs.Part Number: 90NR0D41-M00100Color: Eclipse GrayModel #: G614JI-XS96Item #: N82E16834236376Return Policy: Standard Return Policy
41,"ASUS VivoBook S 15 Slim Laptop, 15.6"" FHD Display, AMD Ryzen 7 5800H CPU, AMD Radeon Graphics, 16GB RAM, 1TB SSD, Windows 11 Home, Fingerprint Reader, Indie Black, S3502QA-NS77",899.99,rated 4.4 out of 5,15,Type: Home / PersonalResolution: 1920 x 1080Weight: 3.75 lbs.Graphics Card: AMD Radeon GraphicsModel #: S3502QA-NS77Item #: N82E16834236212Return Policy: Standard Return Policy
42,"MSI GT Series Titan GT77HX 13VI-042US 17.3"" 4K / UHD 144 Hz IPS Intel Core i9 13th Gen 13980HX (2.20GHz) NVIDIA GeForce RTX 4090 Laptop GPU 128GB Memory 4 TB NVMe( 2TB x 2) SSD Windows 11 Pro 64-bit G","5,299.00",rated 4.9 out of 5,18,Resolution: 3840 x 2160Weight: 7.28 lbs.Color: Core BlackOperating System: Windows 11 Pro 64-bitModel #: Titan GT77HX 13VI-042USItem #: N82E16834156421Return Policy: Standard Return Policy
43,"Colorful X15 AT 2022 Gaming Laptop, 15.6"" 144Hz IPS FHD, Intel 12th Gen Laptop Core i9 12900H, NVIDIA GeForce RTX 3060 Laptop, 16GB Memory DDR4, 512GB SSD, Wi-Fi6, RGB Keyboard, Windows 11 Home","$2,399.00 ",rated 4.4 out of 5,8,Resolution: 1920 x 1080Color: BlueOperating System: Windows 11 HomeCPU: Intel Core i9Model #: X15 AT 22-HD96016512A-G-SAReturn Policy: View Return Policy
44,"[2023] HIDevolution ASUS ROG Strix G18 G814JZ 18"" QHD+ 240Hz, 2.2 GHz i9-13980HX, RTX 4080, 32 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home","$2,999.00 ",rated 4 out of 5,3,Resolution: 2560 x 1600Weight: 6.61 lbsPart Number: G814JZ-G18.I94080-HID6Color: GrayModel #: G814JZ-G18.I94080-HID6Return Policy: View Return Policy
45,"MSI GF Series Thin GF63 12VE-068US 15.6"" 144 Hz IPS Intel Core i5 12th Gen 12450H (2.00GHz) NVIDIA GeForce RTX 4050 Laptop GPU 16GB Memory 512 GB NVMe SSD Windows 11 Home 64-bit Gaming Laptop","$1,099.00 ",rated 4.4 out of 5,140,Resolution: 1920 x 1080Weight: 4.10 lbs.Color: BlackOperating System: Windows 11 Home 64-bitModel #: Thin GF63 12VE-068USItem #: N82E16834156429Return Policy: Standard Return Policy
46,"MSI GF Series Katana GF66 11UD-002 15.6"" 144 Hz IPS Intel Core i7 11th Gen 11800H (2.30GHz) NVIDIA GeForce RTX 3050 Ti Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 10 Home 64-bit Gaming Laptop",899,,,Resolution: 1920 x 1080Weight: 4.63 lbsPart Number: 9S7-158212-002Color: Core BlackModel #: Katana GF66 11UD-002Item #: N82E16834156414Return Policy: Standard Return Policy
47,"MSI GP Series Vector GP76 12UE-270 17.3"" 360 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3060 Laptop GPU 16GB Memory 1TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop","$1,799.00 ",rated 4.6 out of 5,285,Resolution: 1920 x 1080Weight: 6.39 lbs.Color: Core BlackOperating System: Windows 11 Home 64-bitModel #: Vector GP76 12UE-270Return Policy: View Return Policy
48,"Lenovo X1 Yoga Gen 6 (ThinkPad), 2 in 1, Laptop, 14"" WQUXGA 4K, Touchscreen, Core i7 11th Gen., Iris Xe, 16GB, 512GB PCIe, Cam, Backlit KBD, Fingerprint, Windows 10 Pro, 2-Yr Lenovo WTY- 20Y0S3QU00",,,,
49,"Lenovo Thinkpad 13 FHD (1920x1080) 13.3"" IPS Grade A Business Laptop, Intel 7th Gen Celeron 3865U Professor, 1.8GHz Base Frequency, 16GB DDR4 RAM, 256GB SSD, Wi-Fi, Bluetooth, Windows 10 Pro 64-bit",,,,
50,"HP EliteBook 830 G6 13.3"" FHD Grade A Business Laptop, Intel Core i7-8665U Processor, 1.9GHz Base Frequency, 8GB DDR4 RAM, 512GB Solid State Drive, Wi-Fi, Bluetooth, Camera, Windows 10 Pro 64 bit",,,,
51,"Lenovo ThinkPad X1 Extreme Gen 3 15.6"" FHD (Intel 6-Core i7-10750H, 64GB RAM, 2TB PCIe SSD, GTX 1650 Ti) Mobile Workstation Laptop, 2 x Thunderbolt 3, Backlit, Fingerprint, Windows 10 Pro","2,049.99",,2,
52,"Lenovo Thinkpad T480s 14"" Full HD 1920 x 1080 Ultrabook- 8th Gen Intel QUAD Core i5-8350U 1.7GHz  16 GB RAM DDR4 512 GB SSD,Wi-Fi, Bluetooth, Webcam Windows 10 Pro",269.9,,,
53,"Lenovo ThinkPad L380 Yoga 2-in-1 Laptop, 13.3"" FHD Touchscreen, Intel Core i5-8250U, 16GB RAM, 512GB SSD, Fingerprint Reader, Backlit Keyboard, for Education, Gaming, Business, Windows10 Pro 64 bit",279.9,,,
54,"ASUS ZenBook Pro 15 OLED Laptop 15.6"" FHD Touch Display, AMD Ryzen 7 5800H CPU, NVIDIA GeForce RTX 3050 Ti GPU, 16GB RAM, 512GB PCIe SSD, Windows 11 Pro, Pine Grey, UM535QE-XH71T","1,108.99",rated 4.2 out of 5,58,Type: Content Creation / Home / PersonalResolution: 1920 x 1080Weight: 4.41 lbs.Graphics Card: NVIDIA GeForce RTX 3050 Ti Laptop GPUModel #: UM535QE-XH71TReturn Policy: View Return Policy
55,"ASUS VivoBook S14 S435 Laptop, 14"" FHD Display, Intel Evo Platform, i7-1165G7 CPU, 8GB RAM, 512GB PCIe SSD, Windows 11 Home, AI Noise-Cancellation, Deep Green, S435EA-DH71-GR",759,rated 4.6 out of 5,25,Type: Home / PersonalResolution: 1920 x 1080Weight: 2.87 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: S435EA-DH71-GRReturn Policy: View Return Policy
56,"MSI GS Series GS66 Stealth 11UE-662 15.6"" 240 Hz Intel Core i7 11th Gen 11800H (2.30GHz) NVIDIA GeForce RTX 3060 Laptop GPU 16GB Memory 1 TB SSD Windows 11 Home Gaming Laptop","$1,699.00 ",rated 4.5 out of 5,15,Resolution: 1920 x 1080Weight: 4.63 lbs.Color: Core BlackOperating System: Windows 11 HomeModel #: GS66 Stealth 11UE-662Item #: N82E16834156377Return Policy: Standard Return Policy
57,"Lenovo Tab M8 (4th Gen) TB300FU Tablet - 8"" HD - Cortex A53 Quad-core (4 Core) 2 GHz - 3 GB RAM - 32 GB Storage - Android 12 (Go Edition) - Arctic Gray - MediaTek Helio A22 SoC - Upto 1 TB microS",133.93,,,Type: Home / PersonalGraphic Type: Integrated CardColor: GrayModel #: ZABW0083USReturn Policy: View Return Policy
58,"MSI Cyborg Gaming Laptop, 15.6"" IPS FHD 144Hz Display, Intel Core i7-13620H Processor, 32GB DDR5 RAM, 2TB SSD, NVIDIA GeForce RTX 4050 Graphics, Wi-Fi 6, Bluetooth, Backlit Keyboard, Windows 11 Home","1,599.99",,,Resolution: 1920 x 1080Weight: 6 - 6.9 lbs.Color: BlackOperating System: Windows 11 HomeModel #: Cyborg-i7-13620H-4050-32GB-2TB SSDItem #: 9SIAWVGJV09315Return Policy: View Return Policy
59,"Acer Nitro 5 Gaming Laptop, 15.6"" FHD IPS 144Hz Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3050 Ti, 64GB DDR4, 1TB PCIe SSD, 2TB HDD, Wi-Fi 6, Backlit Keyboard, Windows 11 Home, Laptop Stand","$1,299.99 ",,,Resolution: 1920 x 1080Weight: 4 - 4.9 lbs.Color: BlackDisplay Type: Full HDModel #: Nitro-i7-64GB-1TB-2TBItem #: 9SIAWVGJW78303Return Policy: View Return Policy
60,"ASUS ROG Strix G17 (2023) Gaming Laptop, 17.3” QHD 240Hz, GeForce RTX 4060, AMD Ryzen 9 7945HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G713PV-DS94","$1,799.99 ",rated 4.2 out of 5,6,Resolution: 2560 x 1440Weight: 6.17 lbs.Part Number: 90NR0C34-M005K0Color: Eclipse GrayModel #: G713PV-DS94Item #: N82E16834236374Return Policy: Standard Return Policy
61,"MSI Modern 15 Laptop Intel Core i5 12th Gen 1235U (1.30GHz) 8GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit Modern 15 B12M-014",613,rated 4.2 out of 5,39,Type: Work / BusinessResolution: 1920 x 1080Weight: 3.85 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: Modern 15 B12M-014Return Policy: View Return Policy
62,"Lenovo X1 Yoga Gen 6 (ThinkPad), 2 in 1, Laptop, 14"" WQUXGA 4K, Touchscreen, Core i7 11th Gen., Iris Xe, 16GB, 512GB PCIe, Cam, Backlit KBD, Fingerprint, Windows 10 Pro, 2-Yr Lenovo WTY- 20Y0S3QU00","1,499.00",,,Type: Work / BusinessResolution: 3840 x 2400Weight: 3 lbsGraphics Card: Intel Iris Xe GraphicsModel #: 20Y0S3QU00Item #: 9SIAHKVH031946Return Policy: View Return Policy
63,"RATEYUSO Windows 11 Pro Laptop, 15.6"" FHD(1920 x 1080) IPS Display,Intel N5095 CPU Notebook  Computer, 12GB RAM DDR4, 512GB SSD,Full Size Backlit Keyboard with Fingerprint Reader,3.3 lbs",299.99,,,Operating System: Windows 11 ProCPU: intel n5095Screen: 16:9widescreenMemory: 12 GB DDR4Model #: ZQ_133_12GItem #: 9SIBJTMJXH8026Return Policy: View Return Policy
64,"ASUS TUF Gaming A17 (2023) Gaming Laptop, 17.3"" FHD 144Hz Display, GeForce RTX 4070, AMD Ryzen 9 7940HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707XI-NS94","$1,799.99 ",rated 5 out of 5,3,Resolution: 1920 x 1080Weight: 5.73 lbs.Part Number: 90NR0FL5-M002E0Color: Mecha GrayModel #: FA707XI-NS94Item #: N82E16834236430Return Policy: Standard Return Policy
65,"ASUS ZenBook Pro 15 OLED Laptop 15.6"" FHD Touch Display, AMD Ryzen 9 5900HX CPU, NVIDIA GeForce RTX 3050 Ti GPU, 16GB RAM, 1TB PCIe SSD, Windows 11 Pro, Pine Grey, UM535QE-XH91T","$1,499.99 ",rated 4.3 out of 5,8,Type: Content CreationResolution: 1920 x 1080Weight: 4.41 lbs.Graphics Card: NVIDIA GeForce RTX 3050 Ti Laptop GPUModel #: UM535QE-XH91TItem #: N82E16834236027Return Policy: Standard Return Policy
